Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Ron Baker\bakerro01,SG,25,TOT,15,152,2.6,.309,.650,.300,0.7,7.3,3.9,12.6,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.037,,-5.6,-0.8,-6.4,-0.2
26,Ron Baker\bakerro01,SG,25,NYK,11,107,4.5,.376,.563,.375,0.9,6.1,3.4,15.7,2.2,0.0,13.9,8.5,,0.0,0.0,0.0,-0.001,,-4.2,-1.4,-5.7,-0.1
26,Ron Baker\bakerro01,SG,25,WAS,4,45,-1.9,.000,1.000,.000,0.0,9.9,4.9,5.2,1.1,1.9,33.3,5.7,,-0.1,0.0,-0.1,-0.121,,-9.0,0.8,-8.1,-0.1
27,Wade Baldwin\baldwwa01,PG,22,POR,13,72,2.4,.422,.269,.423,1.5,11.4,6.6,18.7,0.0,2.2,26.3,24.7,,-0.3,0.0,-0.2,-0.148,,-9.1,-2.1,-11.1,-0.2
28,Lonzo Ball\balllo01,PG,21,LAL,47,1423,11.9,.487,.500,.105,4.0,13.7,9.0,23.8,2.3,1.1,17.8,16.9,,-0.1,2.0,1.9,.063,,-0.8,1.7,0.9,1.0
29,Mohamed Bamba\bambamo01,C,20,ORL,41,680,14.9,.527,.299,.253,8.6,24.3,16.3,8.3,0.9,6.9,13.1,18.4,,0.1,1.1,1.2,.084,,-3.3,2.9,-0.4,0.3
30,J.J. Barea\bareajo01,PG,34,DAL,38,752,16.5,.495,.332,.203,1.9,11.5,6.8,47.7,1.4,0.1,14.7,27.8,,0.5,0.6,1.2,.074,,1.3,-2.1,-0.8,0.2
31,Harrison Barnes\barneha02,SF,26,DAL,41,1322,14.1,.552,.443,.283,2.6,11.3,7.0,5.6,1.1,0.6,7.6,23.4,,1.3,1.0,2.4,.086,,-0.1,-2.1,-2.2,-0.1
32,Will Barton\bartowi01,SG,28,DEN,6,128,12.6,.522,.455,.182,3.4,17.1,10.2,17.7,0.4,2.1,11.9,22.6,,0.1,0.1,0.2,.079,,-1.0,-1.6,-2.6,0.0
33,Keita Bates-Diop\bateske01,SF,23,MIN,3,25,-4.6,.222,.444,.000,0.0,17.4,8.5,0.0,0.0,3.4,10.0,16.9,,-0.1,0.0,-0.1,-0.219,,-13.4,-3.8,-17.2,-0.1
34,Nicolas Batum\batumni01,SF,30,CHO,45,1377,11.8,.587,.476,.179,3.0,15.1,9.0,15.1,1.5,1.2,17.7,13.0,,1.2,1.2,2.4,.082,,-0.1,1.0,0.9,1.0
35,Jerryd Bayless\bayleje01,PG,30,MIN,8,78,0.9,.282,.444,.111,2.7,5.6,4.1,18.3,1.8,0.0,15.0,18.0,,-0.3,0.0,-0.2,-0.143,,-7.2,-2.7,-9.9,-0.2
36,Aron Baynes\baynear01,C,32,BOS,28,409,15.9,.582,.336,.319,13.5,19.4,16.4,11.2,0.5,3.3,13.9,16.7,,0.9,0.6,1.4,.169,,0.3,1.0,1.3,0.3
37,Kent Bazemore\bazemke01,SG,29,ATL,35,959,14.5,.546,.411,.272,2.2,13.4,7.7,14.6,2.9,2.8,14.0,22.1,,0.2,1.0,1.2,.061,,-0.8,0.9,0.1,0.5
38,Bradley Beal\bealbr01,SG,25,WAS,45,1672,19.4,.568,.368,.238,3.2,11.8,7.5,22.2,1.7,1.9,11.3,28.3,,2.3,0.9,3.2,.093,,2.8,-1.1,1.7,1.6
39,Malik Beasley\beaslma01,SG,22,DEN,45,1040,13.8,.609,.541,.062,2.1,10.3,6.2,7.7,1.3,0.5,6.6,16.8,,1.7,0.8,2.5,.117,,1.5,-1.8,-0.3,0.4
40,Michael Beasley\beaslmi01,PF,30,LAL,19,185,17.7,.564,.132,.292,4.0,15.5,9.9,12.0,1.8,2.6,14.3,31.3,,0.0,0.3,0.2,.061,,-3.1,-1.0,-4.1,-0.1
41,Marco Belinelli\belinma01,SG,32,SAS,45,1002,13.5,.565,.566,.208,1.0,10.2,5.6,11.7,1.2,0.5,8.1,20.7,,1.2,0.7,1.8,.088,,1.5,-2.4,-0.9,0.3
42,Jordan Bell\belljo01,C,24,GSW,43,474,13.6,.554,.010,.212,7.1,17.1,12.3,13.0,1.4,6.1,16.9,11.8,,0.5,0.6,1.1,.115,,-2.3,3.3,1.0,0.4
43,DeAndre' Bembry\bembrde01,SG,24,ATL,45,1121,10.2,.501,.308,.228,2.4,16.7,9.4,14.9,2.4,1.9,17.0,17.5,,-0.7,1.1,0.4,.018,,-3.4,1.2,-2.2,-0.1
44,Dragan Bender\bendedr01,PF,21,PHO,14,108,5.2,.432,.593,.259,5.1,13.9,9.4,8.8,0.4,0.8,16.6,14.5,,-0.1,0.0,-0.1,-0.048,,-5.0,-2.6,-7.6,-0.2
45,Davis Bertans\bertada01,PF,26,SAS,43,861,14.9,.699,.771,.119,2.2,16.6,9.5,7.4,1.1,2.0,8.8,13.5,,1.8,0.8,2.7,.148,,3.1,-0.2,2.9,1.1
46,Patrick Beverley\beverpa01,PG,30,LAC,45,1122,9.4,.519,.597,.286,3.2,13.2,8.4,17.4,1.1,1.4,14.9,12.4,,0.8,0.7,1.5,.066,,0.1,0.4,0.5,0.7
47,Khem Birch\birchkh01,C,26,ORL,20,178,16.5,.572,.026,.500,9.0,20.6,14.7,8.8,1.7,4.7,7.9,12.5,,0.3,0.3,0.6,.162,,-2.3,2.9,0.6,0.1
48,Bismack Biyombo\biyombi01,C,26,CHO,20,271,16.9,.598,.000,.450,12.2,24.3,18.2,5.6,0.9,7.7,13.3,13.1,,0.5,0.4,0.9,.156,,-2.2,3.5,1.3,0.2
49,Nemanja Bjelica\bjeline01,PF,30,SAC,46,1117,15.7,.598,.437,.165,6.6,18.8,12.6,11.7,1.5,2.8,12.9,16.7,,1.7,1.2,2.8,.122,,1.2,1.3,2.5,1.3
50,Antonio Blakeney\blakean01,SG,22,CHI,35,549,11.8,.509,.257,.199,1.0,11.4,6.1,6.0,0.9,1.1,7.8,25.9,,-0.5,0.2,-0.3,-0.024,,-4.2,-3.9,-8.1,-0.8
51,Eric Bledsoe\bledser01,PG,29,MIL,45,1313,19.3,.584,.386,.234,3.8,11.5,7.9,27.4,2.3,1.2,13.5,22.4,,2.7,2.2,4.9,.181,,2.7,1.0,3.6,1.9
52,Jaron Blossomgame\blossja01,SF,25,CLE,21,363,11.3,.559,.370,.136,6.0,19.6,12.5,4.4,1.0,1.4,9.5,11.6,,0.3,0.0,0.4,.046,,-2.0,-1.5,-3.5,-0.1
53,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,34,948,15.0,.547,.425,.180,1.5,11.8,6.6,20.2,1.5,0.6,11.4,23.4,,0.8,0.6,1.4,.073,,1.1,-1.7,-0.6,0.3
54,Bojan Bogdanovic\bogdabo02,SF,29,IND,45,1425,14.8,.616,.391,.290,1.9,12.0,7.1,7.8,1.3,0.0,10.7,20.0,,2.0,1.7,3.7,.126,,1.0,-1.1,-0.1,0.7
55,Jonah Bolden\boldejo01,PF,23,PHI,22,283,9.8,.591,.547,.250,8.2,21.9,15.3,6.2,0.8,4.2,24.5,14.0,,-0.1,0.4,0.3,.058,,-3.1,1.1,-2.0,0.0
56,Isaac Bonga\bongais01,PG,19,LAL,6,22,9.8,.322,.125,.375,9.6,9.0,9.3,22.9,6.4,0.0,17.7,21.3,,-0.1,0.0,0.0,-0.025,,-5.4,3.3,-2.1,0.0
57,Devin Booker\bookede01,SG,22,PHO,34,1191,18.7,.561,.357,.313,1.9,10.1,5.9,34.9,1.3,0.4,14.7,32.0,,1.2,0.2,1.5,.060,,3.4,-3.1,0.3,0.7
58,Chris Boucher\bouchch01,PF,26,TOR,14,71,27.2,.576,.556,.250,12.4,19.3,16.0,0.0,1.4,18.1,4.8,25.5,,0.2,0.2,0.4,.246,,-0.5,2.5,2.0,0.1
59,Avery Bradley\bradlav01,SG,28,LAC,39,1125,4.9,.449,.384,.053,2.4,6.2,4.4,8.9,0.9,1.0,13.2,14.2,,-1.0,0.4,-0.7,-0.028,,-2.7,-0.7,-3.4,-0.4
60,Tony Bradley\bradlto01,C,21,UTA,1,9,-10.4,.000,.000,.000,24.6,12.0,18.2,0.0,0.0,0.0,25.0,19.2,,-0.1,0.0,-0.1,-0.341,,-17.4,-5.4,-22.8,0.0
61,Corey Brewer\breweco01,SG,32,PHI,1,8,25.4,.750,.500,.000,0.0,25.8,13.4,34.3,5.9,0.0,0.0,10.5,,0.0,0.0,0.1,.355,,5.3,3.0,8.3,0.0
62,Mikal Bridges\bridgmi01,SF,22,PHO,47,1236,10.8,.555,.568,.162,2.4,10.2,6.2,8.4,2.6,1.7,9.7,12.6,,0.8,0.8,1.5,.060,,-0.6,0.6,0.0,0.6
63,Miles Bridges\bridgmi02,SF,20,CHO,43,832,12.0,.532,.412,.204,3.2,17.2,10.1,7.4,1.2,2.8,8.1,15.3,,0.5,0.8,1.3,.075,,-1.8,0.4,-1.4,0.1
